,QuestionId,Answer_Source,answer,misconception_source,MisconceptionId,ConstructName,QuestionText,MisconceptionName
46,46,AnswerAText,Only Tom,MisconceptionAId,31.0,Represent an equation using a bar model,"![Tom and Katie are discussing bar models.]() Tom says this bar model represents \( 2 x \) \begin{tabular}{|l|l|}
\hline \( 2 \) & \( x \) \\
\hline
\end{tabular} Katie says this bar model represents \( 2 x \) \begin{tabular}{|l|l|}
\hline\( x \) & \( x \) \\
\hline
\end{tabular} Who do you agree with?",Does not understand bar modelling in algebra
47,47,AnswerAText,\( 61 \),MisconceptionAId,1403.0,"Calculate the whole amount, given a fraction of the amount","What should replace the star?
\(
\frac{1}{3} \text { of } \color{yellow}\bigstar\)\(=27
\)","When two digits multiply to 10 or more during a multiplication problem, does not add carried value to the preceding digit"
48,48,AnswerAText,\( 3 a-18 \),MisconceptionAId,617.0,Determine the input of a double function machine used to create an algebraic expression,input \(\Rightarrow-3 \Rightarrow \times 3 \Rightarrow 9a-21 \) What is the input of this function machine?,Does not apply the inverse function to every term in an expression
49,49,AnswerAText,\( 728 \),MisconceptionAId,1322.0,Convert from years to days,\( 2 \) leap years \( =\square \) days,Does not know how many days are in a leap year
51,51,AnswerAText,\( 240+120+42 \),MisconceptionAId,779.0,Multiply 3 digit integers by 1 digit integers using the grid method,\( 427 \times 6= \),"When multiplying multiples of ten and the answer requires an extra digit, leaves off that extra digit"
53,53,AnswerAText,A,MisconceptionAId,1877.0,Identify the order of rotational symmetry of a shape,"In which region would a rectangle belong? ![Venn diagram with two circles labelled with 'exactly two lines of symmetry' and 'rotational symmetry of order 2'. A is in the only exactly two lines of symmetry region, B is in the intersection, C is in the only rotational symmetry of order 2 region and D is outside the two circles.]()",Thinks rectangles have rotational symmetry or order 4
57,57,AnswerAText,\( \operatorname{Sin} \),MisconceptionAId,718.0,Identify questions involving a 2D right-angled triangle that require the use of the Tangent (tan) ratio,"Which ratio would you use to find the value of \( p \) ? ![A right-angled triangle where the angle is 52 degrees, the side next to this is p and the side opposite is 6cm.]()",Uses sin when tan is required
58,58,AnswerAText,"![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the left, towards the negative numbers in the number line.]()",MisconceptionAId,1880.0,Represent a linear inequality with a single tail on a numberline,Which of the following diagrams represents \( x>-1 \) ?,Mixes up greater than and less than symbols
59,59,AnswerAText,\( 12 \),MisconceptionAId,1313.0,Calculate percentage of an amount mentally where the percent is greater than 100,\( 130 \% \) of \( 40= \),Found the percentage but forgot to add to 100%
62,62,AnswerAText,\( 2+4=6 \),MisconceptionAId,1068.0,Calculate the mean from a frequency table,"This table shows the number of pets a group of students owns.
If calculating the mean number of pets owned, what would replace the star? \begin{tabular}{|c|c|c|}
\hline Number of pets & Frequency & \\
\hline \( 0 \) & \( 9 \) & \\
\hline \( 1 \) & \( 5 \) & \\
\hline \( 2 \) & \( 4 \) & \( \color{gold}\bigstar \)
\hline \( 3 \) & \( 2 \) & \\
\hline \( 4 \) & \( 3 \) & \\
\hline
\end{tabular}",Believes the fx column for calculating mean is value + frequency
64,64,AnswerAText,\( p=\frac{2}{3} \),MisconceptionAId,2359.0,"Solve one-step linear equations requiring multiplication or division, involving positive decimals","Solve the equation:
\[
0.45=0.3 p
\]",Believes division is commutative 
66,66,AnswerAText,\( 4.41 \),MisconceptionAId,980.0,Subtract decimals where the numbers involved have a different number of decimal places,\( 4.72-3.1 \) What should replace the star?,Hasn't lined up the place value columns when writing out the calculation
69,69,AnswerAText,Town A,MisconceptionAId,906.0,Compare relative frequencies in order to determine which prediction is likely to be more reliable,"A vegetarian restaurant wants to know people's eating habits
\( 50 \) people in Town \( A \) are asked if they eat meat. \begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{ Town A } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 39 \) \\
\hline No & \( 11 \) \\
\hline
\end{tabular} \( 200 \) people in Town B are asked if they eat meat. \begin{tabular}{|cc|}
\hline \multicolumn{2}{|c|}{ Town B } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 143 \) \\
\hline No & \( 57 \) \\
\hline
\end{tabular} Which results are more reliable?",Does not know that sample size affects reliability
70,70,AnswerAText,\( 750 \),MisconceptionAId,2023.0,Calculate percentage of an amount using a calculator where the percent is an integer,"What should replace the star? ![A percentage number line representing the value 630 with a star above the 84% mark]() Use your calculator, if needed, and give your answer to \( 1 \) decimal place.",Thinks when finding a percentage you divide by the percentage being asked
72,72,AnswerAText,\( y=1 \),MisconceptionAId,2083.0,Know the equation of the axes,What is the equation of the \( y \) axis?,Thinks y =1 is the y axis
73,73,AnswerAText,\( 1000 \),MisconceptionAId,1988.0,Round integers to the nearest 1000,What is \( 326 \) rounded to the nearest \( 1000 \) ?,Rounds up instead of down
76,76,AnswerAText,always,MisconceptionAId,1180.0,Recall and use the intersecting diagonals properties of a rectangle,The diagonals of a rectangle with different length sides \(_____________\) intersect at right-angles ![A rectangle](),Does not know the properties of a rectangle
77,77,AnswerAText,\( y=\frac{1}{3} x+1 \),MisconceptionAId,925.0,Identify perpendicular lines written in the form y = mx + c,"Which of the following lines is perpendicular to
\[
y=3 x-2 ?
\]",Believes the gradients of perpendicular lines are reciprocals of the same sign
80,80,AnswerAText,A,MisconceptionAId,478.0,Fill in regions of a double Venn diagram with numbers from given information,"In which region would \( \mathbf{1 5} \) belong? ![A Venn diagram with two sets, one labelled Square number and one labelled Odd number. Square Number without the intersection is labelled A, Odd Number without the intersection is labelled C, the intersection of the two sets is labelled B, and outside the circles is labelled D.]()",Does not know what a square number is
81,81,AnswerAText,"\( \begin{array}{l}3,506,212 \\ 3,652 \\ 605,321 \\ 650,312\end{array} \)",MisconceptionAId,1468.0,Order integers with a different number of digits,"Which of these options show the numbers
650,312  
3,506,212
3,652
605,321
in order from smallest to largest?",Orders integers based on first digits without taking into account place value
82,82,AnswerAText,\( x<9 \),MisconceptionAId,1880.0,Understand inequality notation,"Which of the following shows "" \( x \) is greater than \( 9 \) ""?",Mixes up greater than and less than symbols
84,84,AnswerAText,\( y=3 x \),MisconceptionAId,1568.0,Recognise the equations of horizontal lines from a diagram,What is the equation of this line? ![A graph of a horizontal line going through 3 on the y axis. ](),Includes the x variable when giving the equation of a horizontal line
85,85,AnswerAText,\( 1 \),MisconceptionAId,1240.0,Generate a descending integer linear sequence from the nth term rule,"What is the first term of the sequence given by this rule:
\[
2-7 n
\]",Thinks the first term of a sequence must be 1
86,86,AnswerAText,\( \frac{11}{22} \),MisconceptionAId,217.0,Add proper fractions with the same denominator,"Work out:
\(
\frac{4}{11}+\frac{7}{11}
\)
Write your answer in its simplest form.","When adding fractions, adds the numerators and denominators"
88,88,AnswerAText,\( 5 \mathrm{~mm} \),MisconceptionAId,2091.0,Calculate the volume of other prisms when the dimensions are given in the same units,"![A triangular based prism]() Tom likes to remember:

Volume of a prism = Area of cross section \( X \) depth

In this shape, what length is the ""depth""?",Thinks depth always goes front to back in a diagram of a 3D shape
89,89,AnswerAText,\( 1 \),MisconceptionAId,1240.0,Generate a descending integer linear sequence from the nth term rule,"What is the first term of the sequence given by this rule:
\[
1-5 n
\]",Thinks the first term of a sequence must be 1
90,90,AnswerAText,\( 120^{\circ} \),MisconceptionAId,2218.0,Find missing angles in a non-special quadrilateral,What is the size of angle \( p \) in this quadrilateral? ![Not drawn to scale](),Assumes that opposite angles are equal in a quadrilateral
91,91,AnswerAText,Divide by \( x \),MisconceptionAId,265.0,Rearrange a quadratic equation so that it is in the correct form to be factorised,What would be the most useful first step if we wanted to solve the following quadratic equation? \( x^{2}+7 x=8 \),Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised
95,95,AnswerAText,\( 96 \),MisconceptionAId,312.0,"Given information about the relationship between two parts (e.g. one part is worth 5 more than another), work out other parts","Percy, Quentin and Robbie share gold coins in the ratio of
\[
3: 7: 8
\]
Percy gets \( 36 \) fewer coins than Quentin.
How many gold coins did Robbie get?","In ratio question where the difference between the sides is given, uses that as the total for one side instead"
96,96,AnswerAText,"Only
Tom",MisconceptionAId,1138.0,"Solve linear equations with the variable appearing on both sides, with all positive integers","Tom and Katie are arguing about a first step to solve this equation:
\(4 v+1=9 v-3\)

Tom says you can write: \( 5 v+1=-3 \)

Katie says you can write: \( 4 v+4=9 v \)

Who is correct?",Subtracts the smallest digit from the largest digit
97,97,AnswerAText,Alternate angles,MisconceptionAId,532.0,Recognise the vertically opposite angles relationship,"Which of the following correctly describes the relationship between the two marked angles? ![A diagram showing 3 lines crossing at a point to form 6 angles. Two angles are marked in orange, there are two unmarked angles between them on either side.]()",Confuses alternate and opposite angles
98,98,AnswerAText,\( x=-3.3 \),MisconceptionAId,391.0,Given a sketch of a linear graph solve f(x) = n,"This is a graph of
\(y=0.4 x-3\) ![A set of axes with the graph y=0.4x-3 drawn on.]() Use the graph to solve
\(0.4 x-3=-1\)",Mixes up the value of two terms when substituting
99,99,AnswerAText,\( 85 \mathrm{~cm} \),MisconceptionAId,545.0,"Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape","A regular pentagon has a total perimeter of \( 17 \mathrm{~cm} \).
What is the length of each of its sides?","When given the perimeter of a regular polygon, multiplies instead of divides to find each side length"
100,100,AnswerAText,\( \frac{1}{4} \),MisconceptionAId,463.0,Interpret a pie chart,This pie chart shows the colour of hats that Tom owns. ![Pie chart showing the colour of Tom's hats. Blue is 90 degrees. Yellow is approximately 195 degrees. Red is approximately 40 degrees and green approximately 35 degrees.]() What fraction of Tom's hats are not blue?,Reads the complement of what is required from a pie chart
101,101,AnswerAText,\( 8.4 \% \),MisconceptionAId,1786.0,Express one quantity as a percentage of another mentally,What is \( 8 \) out of \( 40 \) as a percentage?,Converts a fraction to a percentage by writing the numerator followed by the denominator
103,103,AnswerAText,\( 120 \mathrm{~cm}^{2} \),MisconceptionAId,867.0,Calculate the area of a parallelogram where the dimensions are given in the same units,"What is the area of the parallelogram? ![A parallelogram with the length labelled 10cm, the slanted height labelled 4cm, and the perpendicular height (marked with a right angle) labelled 3cm]()",When finding the area of a parallelogram does not understand which lengths to use
104,104,AnswerAText,\( d^{2}=22 \),MisconceptionAId,969.0,Solve quadratic equations using balancing,"A student wishes to solve the equation below.

Which of the following is a correct next step?
\(
(d-6)^{2}-16=0
\)

Step \( 1 \)
\(
(d-6)^{2}=16
\)",Believes you can subtract from inside brackets without expanding when solving an equation
105,105,AnswerAText,\( 53^{\circ} \),MisconceptionAId,1389.0,Find missing angles using vertically opposite angles,"What is the size of angle \( p \) ? ![3 intersecting lines. Towards the top of the image two of the lines intersect and at this point there are two marked angles, 138 degrees and 42 degrees. The angle opposite the 42 degree angle is marked p]()",Mistakes lines as parallel
106,106,AnswerAText,\( 40^{\circ} \),MisconceptionAId,1362.0,Calculate the sector angle on a pie chart for a given group,"A class of students were surveyed about how many siblings they have.

A selection of results are shown in the table. \begin{tabular}{|c|c|c|}
\hline Number of siblings & Frequency & Angle on a pie chart \\
\hline  0  & \( 7 \) & \(  \) \\
\hline 1  & \(  \) & \( 144 \degree \) \\
\hline 2  & \(  \) & \(  \) \\
\hline 3  & \( 4 \) & \( \bigstar \) \\
\hline 4 or more  & \(  \) & \(  \) \\
\hline  TOTAL  & 30  & \(  \) \\
\end{tabular} Jenny wants to draw a pie chart of the information.
What should replace the star?",Believes that the angle on a pie chart is the frequency multiplied by 10
107,107,AnswerAText,\( \frac{45}{75} \),MisconceptionAId,1008.0,Divide proper fractions in the form: Integer ÷ Fraction,How many times does \( \frac{3}{5} \) go into \( 15 \) ?,"When dividing an integer by a fraction, thinks they multiply numerator and denominator by the integer"
108,108,AnswerAText,\( +2 \),MisconceptionAId,2143.0,Carry out multiplication problems involving one negative integer,"John is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The two brackets are (x+5)(x-3). The arrows are pointing at the +5 in the first bracket and the -3 in the second bracket.]()",Adds instead of multiplying when expanding bracket
109,109,AnswerAText,Only Tom,MisconceptionAId,384.0,Know that the factorised form of a quadratic is useful for finding where the curve crosses the x-axis,"Tom and Katie are discussing quadratic graphs.

Tom says a quadratic expression that cannot be factorised will not intercept the \( x \) axis.

Katie says a graph of a quadratic that does not intercept the \( x \) axis cannot be factorised.
Who is correct?","When solving simultaneous equations graphically, they think the solutions are the x-intercepts"
111,111,AnswerAText,![Trapezium](),MisconceptionAId,255.0,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",Which quadrilateral below is a regular polygon?,Does not know the meaning of the word regular 
112,112,AnswerAText,\( 3-4 \),MisconceptionAId,2093.0,Express a division as a fraction,Which calculation is equivalent to the fraction \( \frac{3}{4} \) ?,Thinks the fraction bar means subtract rather than divide
113,113,AnswerAText,\( 3 x-5 \),MisconceptionAId,1805.0,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,"Expand and simplify:
\[
4(2 x+1)-(5 x-9)
\]",Does not realise that subtracting a negative is the same as adding it's additive inverse
115,115,AnswerAText,\( 3 \),MisconceptionAId,851.0,Write a given translation in vector notation,Three left and five down in vector notation is... \( \left(\begin{array}{c}\triangle \\ \bigcirc\end{array}\right) \) What should replace the \( \triangle \) ?,Thinks a negative x value in a column vector means to move right rather than left 
117,117,AnswerAText,\( 1201 \ \mathrm{ml} \),MisconceptionAId,2356.0,"Given information about one part, work out other parts","To make pink paint, you mix red paint with white paint in the ratio \( 3: 4 \).
What should replace the star? ![Red, White, Total | 1200 ml, Star, Blank]()",Thinks a difference of one part in a ratio means the quantities will differ by one unit
118,118,AnswerAText,\( 5 \),MisconceptionAId,877.0,Calculate the area of a trapezium where the dimensions are given in different units,"What should replace the star to calculate the area of this trapezium?
 Area \( =\frac{90+40}{2} \times \) \(\color{gold}\bigstar\)
 ![Trapezium with parallel sides of lengths 90mm and 40mm. The length of one slanted side is 6cm and the perpendicular height is 5cm.]()",Does not convert measurements to have the same units before calculating area or volume
119,119,AnswerAText,"Only
Tom",MisconceptionAId,1597.0,Carry out division  problems involving one negative integer,"Tom and Katie are trying to write different calculations for the diagram on the left.
Tom writes: \( -3 \times(-8)=-24 \)
Katie writes: \( \frac{(-24)}{-3}=-8 \)
Who is correct? ![A diagram showing an arrow to the left, marked with a value of -24. Underneath this arrow there is a smaller arrow, still pointing to the left, that is a third of the length of the larger arrow]()",Believes multiplying two negatives gives a negative answer
120,120,AnswerAText,\( 8 \mathrm{~mm}^{2} \),MisconceptionAId,877.0,Perform calculations with areas when given in different units,"Square \( \mathrm{P} \) has an area of \( 4 \mathrm{~cm}^{2} \)
Square \( Q \) has an area of \( 4 \mathrm{~mm}^{2} \)
What is the total area of squares \( P \) and \( Q \) in \( \mathrm{mm}^{2} \) ?",Does not convert measurements to have the same units before calculating area or volume
121,121,AnswerAText,\( 5 \),MisconceptionAId,1743.0,Find the gradient of a line written in the form ax + by = c,"What is the gradient of this line?
\(5 x+3 y=15\)",Believes that the coefficient of x represents the gradient even when a line is not in the form y = mx+c
124,124,AnswerAText,\( -13 \),MisconceptionAId,1282.0,Carry out subtraction problems involving two negative integers ,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",When subtracting a negative thinks the answer must be negative 
125,125,AnswerAText,Line \( 1 \),MisconceptionAId,583.0,Prove statements involving multiples,"On what line is the first mistake when proving \( (n+1)^{2}-(n-1)^{2} \) is divisible by \( 4 \) ? \( n^{2}+2 n+1-\left(n^{2}-2 n+1\right) \quad \) Line \( 1 \) \( n^{2}+2 n+1-n^{2}-2 n+1 \quad \) Line \( 2 \) \[
2
\]

Line \( 3 \)",Ignores negative sign when expanding bracket
126,126,AnswerAText,\( 48 \mathrm{~cm}^{2} \),MisconceptionAId,1148.0,"Calculate missing lengths of shapes by geometrical inference, where the lengths given are in the same units","What is the area of the shaded section of this composite shape made from rectangles? ![A composite shape made from two rectangles that form an ""L"" shape.  The base of the shape is horizontal and is 13cm long. The vertical height of the whole shape is 14cm. The horizontal width of the top part of the shape is 6cm. The vertical height of the top rectangle is 8cm. The right handed rectangle is shaded blue]()",Uses an incorrect side length when splitting a composite shape into parts
129,129,AnswerAText,\( 8 \),MisconceptionAId,2093.0,Substitute positive integer values into expressions involving no powers or roots,"When \( h=10 \)
\(
\frac{h}{2}=
\)",Thinks the fraction bar means subtract rather than divide
130,130,AnswerAText,"\[
+1
\]
(or just a + sign)",MisconceptionAId,1213.0,Find the nth term rule for ascending quadratic sequences in the form ax² + bx + c,"\(
6,14,28,48,74, \ldots
\)

When calculating the nth-term rule of this sequence, what should replace the triangle?

nth-term rule: \( 3 n^{2} \)\( \color{red}\triangle \)  \(n\) \( \color{purple}\square \)
","When finding the differences between terms in a sequence, believes they can do so from right to left "
133,133,AnswerAText,Only Tom,MisconceptionAId,1406.0,Work out the size of each interior angle in a regular polygon,"Tom and Katie are discussing how to calculate the size of each interior angle in a regular \( 20 \) sided shape

Tom says you can do \( \frac{18 \times 180}{20} \)

Katie says you can do \( 180-\frac{360}{20} \)

Who is correct?",Does not recognise that interior and exterior angles are supplementary
134,134,AnswerAText,\( 0 \),MisconceptionAId,1876.0,Round numbers between 0 and 1 to one significant figure,"\(
0.095643
\)

What is this number rounded to \( 1 \) significant figure?",Counts leading zero as a significant figure
135,135,AnswerAText,\( 100 \% \),MisconceptionAId,1184.0,"Solve problems involving converting between fractions, decimals and percentages","Complete the missing value. ![A circle with two other circles below it, connected to the top circle by lines. The top circle has 60% in, one of the bottom circles has 2/5, and the other is blank.]()",Identifies the wrong part of a fraction model as the whole
136,136,AnswerAText,\( -3 \) and \( -8 \),MisconceptionAId,1597.0,Carry out multiplication problems involving one negative integer,"The product of two numbers is \( -24 \).
What could the two numbers be?",Believes multiplying two negatives gives a negative answer
137,137,AnswerAText,\( \begin{array}{c}P=1.5 \\ Q=2\end{array} \),MisconceptionAId,11.0,Read values from piecewise functions,"Tom is has correctly drawn the graph of the following function:
\(
y=\left\{\begin{array}{c}
3 \text { for } 0 \leq x<Q \\
P \text { for } 1.5 \leq x<4 \\
2.5 \text { for } 4 \leq x<7
\end{array}\right.
\)

What are the values of \( P \) and \( Q \) ? ![The graph is three separate horizontal lines. It goes from (0,3) to (1.5, 3), then (1.5, 2) to (4, 2) and the last section is from (4, 2.5) to (7, 2.5)]()","When reading value from graph, reads from the wrong axes."
138,138,AnswerAText,Triangle,MisconceptionAId,1837.0,Identify the net of a non-prism,"This is the net of a... ![An image with an equilateral triangle in the centre. Connected to each of the three sides of the equilateral triangle are 3 more identical, equilateral triangles forming a larger triangle shape.]()",Names one of the faces of a 3D shape rather than the 3D shape name
140,140,AnswerAText,\( (p+9)(p-9) \),MisconceptionAId,838.0,Factorise a single bracket containing a non-linear expression by taking out a single algebraic common factor (e.g. a),"Factorise this expression, if possible:
\(
p^{2}-99p
\)","When factorising a quadratic without a non variable term, tries to double bracket factorise"
141,141,AnswerAText,"Only
Tom",MisconceptionAId,82.0,"Given a negative x value, find the corresponding y value for curves in the form y = x² + c","Tom and Katie are discussing the table of values for \( y=x^{2}-1 \) \begin{tabular}{|l|l|}
\hline\( x \) & \( \bigstar \) \\
\hline\( y \) & \( 15 \) \\
\hline
\end{tabular} Tom says the star could be \( 4 \)

Katie says the star could be \( -4 \)

Who is correct?",Believes the square of a negative will also be negative
142,142,AnswerAText,\( 345^{\circ} \),MisconceptionAId,1250.0,Use a protractor to measure angles between 270° and 360°,"What is the size of the marked angle? ![A 360 degree protractor with 2 red lines and a pink sector marking out a reflex angle being measured by the protractor. The inner scale goes from 0 to 360 in an anti-clockwise direction. The angle is between one red line that is at 0 (inner scale) and 180 (outer scale) on the protractor and goes anti-clockwise to the other red line that is half way between 330 and 340 (inner scale) and halfway between 210 and 200 (outer scale).
]()",Correct scale but wrong value on protractor reading.
143,143,AnswerAText,\( \bigstar=-6 \),MisconceptionAId,978.0,Complete the square for expressions that end up in the form a(x + b)² + c,"When Sarah completes the square, what should replace the star? \( 2 g^{2}-6 g-5 \equiv 2(g  \bigstar)^{2} \triangle \)","When completing the square, believes the constant in the bracket is the coefficient of x"
145,145,AnswerAText,\( 3 \),MisconceptionAId,1807.0,Multiply mixed number fraction in the form: Fraction × Fraction,\( 1 \frac{1}{2} \times 3 \frac{2}{3}=\bigstar\frac{3}{6} \) What should replace the star?,"When multiplying mixed numbers, forgets to multiply the fraction"
