index,Prompt,Generated Response,Expected Misconception
3063,"Instruction: Why is the given answer wrong under such circumstances?
answer: ![A curved graph that starts in the top left, travels steeply down and right, turns to travel steeply up and right, to the origin, where it turns around to travel down and right again.]()
ConstructName: Recognise a reciprocal graph from its shape
QuestionText: Which of the following is most likely to be the graph of a reciprocal function?",158,confuses cubic and reciprocal graphs
3921,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 1845 \)
ConstructName: Interpret and carry out mental division using a bar model
QuestionText: Find the value of \( P \). ![Horizontal green bar divided into 5 equal sections. Each section is labelled with a ""P"". Curly bracket shows that 3 of the sections sum to 615.]()",1845,Multiplies instead of divides to find one part given the total
461,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( n+5 \)
ConstructName: Prove statements involving multiples
QuestionText: Which of the following expressions is always a multiple of \( 5 \) if \( n \) is a positive integer.",25,Believes adding b to any integer gives a multiple of b
274,"Instruction: Why is the given answer wrong under such circumstances?
answer: \(\bigstar =+6 \)
ConstructName: Complete the square for expressions that end up in the form (x + a)² + b
QuestionText: \( m^{2}+6 m+1 \equiv(m \bigstar )^{2} \triangle \)","\(\bigstar =+6 \)
ConstructName: Complete the square for expressions that end up in the form (x + a)² + b
QuestionText: \( m^{2}+6 m+1 \equiv(m \bigstar )^{2} \triangle \)","When completing the square, believes the constant in the bracket is the coefficient of x"
530,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( \frac{10 y}{x^{2}(x-3)} \)
ConstructName: Multiply algebraic fractions where the numerators and denominators involve linear expressions
QuestionText: Write this as a single fraction as simply as possible: \( \frac{5}{x-3} \times \frac{x^{2}}{2 y} \)",0,when multiplying fractions multiplies by the reciprocal of the 2nd fraction instead
1967,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 5 \)
ConstructName: Understand the relationship between parts of a ratio
QuestionText: Kate and Isaac share some biscuits in the ratio \( 1: 4 \). Isaac has  \( _____ \) times as many biscuits as Kate.
What number completes the sentence?",5,Does not understand that in a ratio 1:n that one part of the ratio would be n times bigger than the one part
1309,"Instruction: Why is the given answer wrong under such circumstances?
answer: Only Katie
ConstructName: Understand the terms equilateral and regular, and recognise the notation for regular polygons
QuestionText: Tom and Katie are discussing regular polygons Tom says this is a regular polygon: ![A rhombus]() Katie says this is a regular polygon: ![A rectangle]() Who is correct?",Katie,Thinks that only the angles need to be the same for a polygon to be regular
315,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( p=\frac{1}{4} \)
ConstructName: Solve one-step linear equations requiring multiplication or division, involving positive fractions
QuestionText: Solve the equation:

\(
3 p=\frac{1}{12}
\)",\( p=\frac{1}{36} \),"When solving an equation, uses the same operation rather than the inverse."
309,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 0 \)
ConstructName: Identify or mark lines of symmetry on a shape
QuestionText: ![A rectangle]() How many lines of symmetry does this shape have?",70,Cannot identify a line of symmetry in a simple shape
2793,"Instruction: Why is the given answer wrong under such circumstances?
answer: Both Tom and Katie
ConstructName: Sort and class quadrilaterals into hierarchical families
QuestionText: Tom and Katie are discussing this shape
Tom says it is a parallelogram
Katie says it is a rhombus
Who do you agree with? ![Pink parallelogram with parallel sides labelled]()",Both Tom and Katie,Does not remember that a rhombus has equal sides
3926,"Instruction: Why is the given answer wrong under such circumstances?
answer: This is not an angle
ConstructName: Use a protractor to measure angles between 90° and 180°
QuestionText: What is the size of this angle? ![An image of a protractor. There is a red line going from the middle to 0/180 and another line from the middle to in between 160/20 and 170/10. ]()",289,Thinks angles can only be measured when one line is horizontal
3621,"Instruction: Why is the given answer wrong under such circumstances?
answer: Need more information
ConstructName: Solve two-step linear equations, with the variable on one side, with all positive integers
QuestionText: \( a, b \) and \( c \) are different numbers
\(
\frac{a}{b+c}=a \div(b+c)
\)
Is the above relationship...",500,Does not understand that the numerator and denominator of fractions represent groupings and have the same order of priority as brackets
4182,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 47 \times 2 \)
ConstructName: Understand the notation for powers
QuestionText: To calculate \( 47^{2} \) you need to do...",47 × 47,Multiplies by the index
3613,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 4 \)
ConstructName: Identify or mark lines of symmetry on a shape
QuestionText: ![A rectangle]() How many lines of symmetry does this shape have?",\( 4 \),Thinks rectangles have line symmetry in the diagonals 
3999,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( y=-8 \)
ConstructName: Substitute a solution back into the remaining equation and find the second solution
QuestionText: Nick has almost solved a pair of simultaneous equations.
He just needs to find the value of \( y \).
He writes down:
\[
3-y=5
\]

What is the correct value of \( y \) ?",\( y=-8 \),"When solving an equation, uses the same operation rather than the inverse."
3976,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 84 \mathrm{~cm}^{2} \)
ConstructName: Calculate the area of a parallelogram where the dimensions are given in the same units
QuestionText: What is the area of the parallelogram? ![A parallelogram with length 7cm, perpendicular height (marked by a right angle) 3cm, and slanted height 4cm. Not to scale]()",56cm²,Multiplies all given dimensions when calculating an area
239,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( h=\frac{1}{2}(b \times A) \)
ConstructName: Rearrange formulae to change the subject where the subject appears once and two steps are needed
QuestionText: The formula for the area of a triangle, \( A \), is
\(A=\frac{1}{2}(b \times h)\)

Rearrange this to make the height, \( h \), the subject. ![An image of a triangle with the base labelled b and the perpendicular height h.]()",10,"When solving an equation, uses the same operation rather than the inverse."
1220,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( \bigstar=-3 \)
ConstructName: Complete the square for expressions that end up in the form a(x + b)² + c
QuestionText: When Sarah completes the square, what should replace the star? \( 2 g^{2}-6 g-5 \equiv 2(g  \bigstar)^{2} \triangle \)",\( \bigstar=-\frac{3}{2} \),"When completing the square, believes that a is always half the x-coefficient. "
677,"Instruction: Why is the given answer wrong under such circumstances?
answer: Only
Tom
ConstructName: Raise a positive integer to a positive integer power
QuestionText: Tom and Katie are arguing about powers.
\( m \) and \( n \) are integers

Tom says there is no value of \( m \) that means \( 2^{m} \) ends in \( 0 \).
Katie says there is no value of \( n \) that means \( 5^{n} \) ends in \( 0 \).
Who is correct?","Only Katie

Explanation:
- For \( 2^{m} \) to end in 0, it would need to be divisible by 10. Since 2 and 5 are coprime, \( 2^{m} \) can never be divisible by 10 (it will always end in 2, 4, 8, 6, etc.).
- For \( 5^{n} \) to end in 0, it would need to be divisible by 10. Since 5 is a factor, \( 5^{n} \) will always end in 0 for any positive integer \( n \).

Therefore, Katie is correct that there is no value of \( n \) for which \( 5^{n} \) ends in 0.",Assumes a fact without considering enough examples
17,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 801,426 \)
ConstructName: Find another power of 10 less than a given number
QuestionText: What number is \( 10,000 \) less than \( 901,426 \) ?",801426,"When subtracting a power of 10, subtracts from the wrong column"
1180,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 0.830 \)
ConstructName: Select the correct answer to an iteration question to the required degree of accuracy
QuestionText: The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

To find the value of \( x \), Sally uses:
\(x_{n+1}=\frac{8}{9}-\frac{x^{3}{ }_{n}}{9}\)

If \( x_{0}=0 \), what is the value of \( x \) to \( 3 \) decimal places? ![A rectangle with the base labelled x and the perpendicular height labelled x^2 + 9]()",0.830,Stops iteration too early when solving equations
937,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 3.75 \mathrm{~cm} \)
ConstructName: Solve length problems involving similar shapes where the missing length is the shorter one
QuestionText: These two shapes are similar (not drawn to scale).
What should replace the star? ![Two scalene triangles. The bigger one has sides 9 cm and 7.5 cm. On the smaller triangle, the side corresponding to the 9 cm is 6 cm, and the side corresponding to the 7.5 cm is marked with a star.]()",12,Doubles side length for similar shape instead of using correct scale factor
2328,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 6 \)
ConstructName: Calculate the area of a trapezium where the dimensions are given in different units
QuestionText: What should replace the star to calculate the area of this trapezium?
 Area \( =\frac{90+40}{2} \times \) \(\color{gold}\bigstar\)
 ![Trapezium with parallel sides of lengths 90mm and 40mm. The length of one slanted side is 6cm and the perpendicular height is 5cm.]()",6,Uses slant height instead of perpendicular height to find area of a trapezium
3941,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 80 \)
ConstructName: Round the elements of a calculation to one significant figure to perform an estimation
QuestionText: Julie wants to estimate the answer to this calculation by rounding each number to \( 1 \) significant figure.

\[
87.4 \times 0.3727
\]

What number should replace \( \mathbf{8 7 . 4} \) in her estimation?",80,Rounds down instead of up
2764,"Instruction: Why is the given answer wrong under such circumstances?
answer: Both Tom and Katie
ConstructName: Given an equation, form  or identify related equations
QuestionText: Tom and Katie are discussing this equation:
\[
x+y=12
\] Tom uses the equation to write:
\[
3 x+3 y=36
\] Katie uses the equation to write:
\[
x+2 y=24
\] Who has written a related linear equation?","Katie has written a related linear equation.

Tom's equation \(3x + 3y = 36\) is a multiple of the original equation \(x + y = 12\). This means it represents the same relationship between \(x\) and \(y\), just scaled up by a factor of 3.

Katie's equation \(x + 2y = 24\) is not a multiple of the original equation \(x + y = 12\). It represents a different relationship between \(x\) and \(y\).

Therefore, the correct answer is:
Tom and Katie",Does not understand that when multiplying both sides of an equation by an amount every term must be multiplied by the same amount
4270,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 1 \frac{2}{0} \)
ConstructName: Subtract fractions involving mixed number fractions with the same denominator
QuestionText: \( 2 \frac{4}{5}-1 \frac{2}{5}= \) Leave your answer as a mixed number",1 1,"When subtracting fractions, subtracts the numerators and denominators"
2478,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( y=2-2 x \)
ConstructName: Identify parallel lines with at least one equation written in another form
QuestionText: Which of the following lines is not parallel to
\[
y=-2 x+7 \text { ? }
\]",700,"When given the equation of a straight line, believes the first term always gives the gradient, even when the first term is actually c"
3162,"Instruction: Why is the given answer wrong under such circumstances?
answer: Subtract Pair \( 1 \)
Add Pair \( 2 \)
ConstructName: Recognise whether you need to add or subtract linear equations in order to eliminate a variable
QuestionText: What do you need to do to eliminate the \( q s \) in each of these pairs of simultaneous equations?
 Pair \( 1 \)
\(
\begin{array}{l}
5 p+2 q=12 \\
3 p+2 q=8
\end{array}
\) Pair \( 2 \)
\(
\begin{array}{l}
5 p-2 q=12 \\
3 p-2 q=8
\end{array}
\)",0,"Believes that when eliminating a variable, if the signs of the terms with matching coefficients are the same, we do the operation inverse to the sign (- if positive, + if negative)"
151,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( -3 \geq n \)
ConstructName: Solve linear inequalities in one variable where the unknown appears on boths sides of the equation
QuestionText: Solve
\[
3 n+2 \geq 4 n-5
\]",70,"When solving an equation, uses the same operation rather than the inverse."
705,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 82 \% \)
ConstructName: Express one quantity as a percentage of another mentally
QuestionText: What is \( 8 \) out of \( 20 \) as a percentage?",0,Converts a fraction to a percentage by writing the numerator followed by the denominator
2067,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 224 \)
ConstructName: Complete multi-step mental calculations
QuestionText: What is the value of:
\(
\frac{54+58}{2}
\)",\( 224 \),Multiplies rather than divides
903,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 0.36 \)
ConstructName: Divide decimals by 100
QuestionText: \( 3.06 \div 100= \)",0.0306,Does not understand the value of zeros as placeholders
505,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( -4 \)
ConstructName: Solve quadratic equations using the quadratic formula where the coefficient of x² is 1 
QuestionText: Vera wants to solve this equation using the quadratic formula.
\(
h^{2}+4=5 h
\)

What should replace the star? \( \frac{ \bigstar\pm \sqrt{?-?}}{?} \)",\( \frac{-4\pm \sqrt{4^2-4*1*1}}{2*1} \),"When using the formula to solve a quadratic equation, believes that a, b and c are always taken from the 1st, 2nd and 3rd terms, respectively, of the quadratic. "
2077,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 3 \)
ConstructName: Convert between cl and l
QuestionText: \[
30 \text { centilitres }=\bigstar \text { litres }
\]
What should replace the star?",\( 0.3 \),Thinks there are 10cl in a litre
843,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 10 \times 12 \)
ConstructName: Round decimals to the nearest whole number
QuestionText: Jane measures the length and width of her rectangular classroom as \( 9.1 \mathrm{~m} \) and \( 11.7 \mathrm{~m} \).
Which calculation will give the best estimate of the area?","The given answer is wrong under such circumstances because the instruction asks for the best estimate of the area of the rectangular classroom. The best estimate would be obtained by rounding the measurements to the nearest whole number before calculating the area.

Jane's measurements are \( 9.1 \mathrm{~m} \) and \( 11.7 \mathrm{~m} \).

Rounding these measurements to the nearest whole number:
- \( 9.1 \mathrm{~m} \) rounds to \( 9 \mathrm{~m} \)
- \( 11.7 \mathrm{~m} \) rounds to \( 12 \mathrm{~m} \)

Now, calculate the area using these rounded values:
\[ \text{Estimated Area} = 9 \mathrm{~m} \times 12 \mathrm{~m} = 108 \mathrm{~m}^2 \]

Using the original measurements (\( 9.1 \mathrm{~m} \) and \( 11.7 \mathrm{~m} \)) to calculate the actual area:
\[ \text{Actual Area} = 9.1 \mathrm{~m} \times 11.7 \mathrm{~m} \approx 106.47 \mathrm{~m}^2 \]

The estimated area of \( 108 \mathrm{~m}^2 \) is closer to the actual area of \( 106.47 \mathrm{~m}^2 \) than the actual area of \( 106.47 \mathrm{~m}^2 \) itself. Therefore, the correct answer is:

\[ 10 \times 12 = 120 \]

So, the correct calculation to give the best estimate of the area is:
\[ 10 \times 12 \]",Rounds every number up when estimating
2251,"Instruction: Why is the given answer wrong under such circumstances?
answer: Kaci: \( 10 \times 6+4 \times 6 \)
ConstructName: Calculate compound area involving just rectangles and squares, where the dimensions are given in the same units
QuestionText: Paige, Kaci and David want to find the area of the school playground. They each do it a different way. Who is correct? ![A compound shape made up of two rectangles.  Dimensions are 6 metres by 12 metres and also 4 metres by 8 metres. Two sides do not have measurements so need to be deduced]()",72,Cannot identify the correct side lengths to use when asked to find the area of a face
1281,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( £ 15 \)
ConstructName: Substitute into simple formulae given in words
QuestionText: A theme park charges \( £ 8 \) entry fee and then \( £ 3 \) for every ride you go on.
Heena goes on \( 5 \) rides.
How much does she pay in total?",15,Does not add on the constant in a worded substitution problem
538,"Instruction: Why is the given answer wrong under such circumstances?
answer: ![A sequence of 4 patterns. The first pattern is 1 green dot. The second pattern is green dots arranged in a 2 by 2 square shape. The third pattern is green dots arranged in a 3 by 3 square shape. The fourth pattern is green dots arranged in a 4 by 4 square shape. ]()
ConstructName: Count a number of objects
QuestionText: \[
1,3,5,7, \ldots ?
\]

Which pattern matches the sequence above?",138,"When given a linear sequence, cannot match it to a visual pattern"
2101,"Instruction: Why is the given answer wrong under such circumstances?
answer: DCCCC
ConstructName: Can write Roman numerals between 100 and 1000
QuestionText: Which of the following is the correct way to write \( 900 \) using Roman numerals?",DCCCC,Writes four symbols after rather than one before in Roman numerals
3233,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 0.333 \ldots \)
ConstructName: Divide two decimals with the same number of decimal places
QuestionText: \( 0.9 \div 0.3= \)",0.333…,Believes division is commutative 
3689,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 118\degree\)
ConstructName: Find missing angles in a scalene triangle
QuestionText: What is the size of angle \( k \) ? ![A triangle with one angle of 40 degrees. One angle of 32 degrees and the third angle is labelled k. ]()",118°,"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit"
2648,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( -2 \)
ConstructName: Complete missing number mental subtraction problems up to 100
QuestionText: What should replace the star?
\[
\bigstar-26=28
\]",\( -2 \),"When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation"
2298,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 0.825 \)
ConstructName: Select the correct answer to an iteration question to the required degree of accuracy
QuestionText: The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

To find the value of \( x \), Sally uses:
\(x_{n+1}=\frac{8}{9}-\frac{x^{3}{ }_{n}}{9}\)

If \( x_{0}=0 \), what is the value of \( x \) to \( 3 \) decimal places? ![A rectangle with the base labelled x and the perpendicular height labelled x^2 + 9]()","The given answer is wrong under such circumstances because it does not follow the correct iterative process to approximate the value of \( x \).

The provided iterative formula is:
\[ x_{n+1} = \frac{8}{9} - \frac{x_n^3}{9} \]

Starting with \( x_0 = 0 \), let's compute the first few iterations:

1. **First Iteration (\( x_1 \))**:
\[ x_1 = \frac{8}{9} - \frac{0^3}{9} = \frac{8}{9} \approx 0.8889 \]

2. **Second Iteration (\( x_2 \))**:
\[ x_2 = \frac{8}{9} - \frac{\left(\frac{8}{9}\right)^3}{9} = \frac{8}{9} - \frac{\left(\frac{512}{729}\right)}{9} = \frac{8}{9} - \frac{512}{6561} \]
\[ x_2 = \frac{8 \cdot 729 - 512}{6561} = \frac{5832 - 512}{6561} = \frac{5320}{6561} \approx 0.8087 \]

3. **Third Iteration (\( x_3 \))**:
\[ x_3 = \frac{8}{9} - \frac{\left(\frac{5320}{6561}\right)^3}{9} \]
This value is very close to the result from the second iteration.

Given that \( x_2 \approx 0.8087 \) and the subsequent iterations will converge very closely to this value, the correct value of \( x \) to 3 decimal places is approximately 0.809.

Therefore, the correct answer is:
\[ \boxed{0.809} \]",Stops iteration too early when solving equations
3936,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 7 x+y \)
ConstructName: Simplify algebraic expressions to maintain equivalence by collecting like terms involving just two linear variables
QuestionText: Simplify the following expression by collecting
like terms
\(6 x-2 y-x+3 y\)",7x + y,"When collecting like terms, assigns positivity or negativity incorrectly."
3650,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( -9 \)
ConstructName: Solve one-step linear equations requiring multiplication or division, with all positive integers
QuestionText: Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()",10,"When solving an equation, subtracts instead of dividing"
2167,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 35-7 \)
ConstructName: Identify that a problem needs to be solved using addition
QuestionText: Which of the following calculations would solve this problem?
Harvey is monitoring the growth of his plant. The plant was \( 35 \mathrm{~cm} \) tall. It grew \( 7 \mathrm{~cm} \) more.
How tall is the plant now?",answer: \( 35 + 7 \),Subtracts instead of adds when answering worded problems 
4332,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( -3.5<x<1.5 \)
ConstructName: Solve linear inequalities involving two inequality signs
QuestionText: What is the solution to the following inequality?
\(
-5<2 x+1<5
\)",7 < x < 2,Does not reverse the order of operations when solving an equation
544,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 20000 \)
ConstructName: Recognise the place value of each digit in integers
QuestionText: What is the value of the \( 2 \) in the number below?
\(
12030
\)",\( 2000 \),"When asked for the value of a digit, gives an answer 10 times too big"
1864,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 700.04 \)
ConstructName: Divide two decimals with a different number of decimal places
QuestionText: \( 70.04 \div 0.1= \)",7000.4,"When dividing decimals, does not realize that the order and position of the digits (relative to each other) has to remain constant."
1017,"Instruction: Why is the given answer wrong under such circumstances?
answer: Protractor 
Compass
ConstructName: Construct a triangle using Side-Angle-Side
QuestionText: Which combination of mathematical instruments has been used to construct this triangle? ![Constructed triangle with two sides and an angle labelled]()",1,Forgets you need a ruler to measure lengths
51,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 1 \)
ConstructName: Generate a descending integer linear sequence from the nth term rule
QuestionText: What is the first term of the sequence given by this rule:
\[
1-5 n
\]",\( 1 \),Thinks the first term of a sequence must be 1
149,"Instruction: Why is the given answer wrong under such circumstances?
answer: Only Tom
ConstructName: Recognise a quadratic graph from its shape
QuestionText: Tom and Katie are discussing quadratic graphs Tom says this could be the graph of a quadratic function ![A graph showing a positive parabola in the shape of a u]() Katie says this could be the graph of a quadratic function ![A graph showing a negative parabola in the shape of an upside down u]() Who is correct?",Only Katie,Only recognises the positive form of a quadratic graph
3899,"Instruction: Why is the given answer wrong under such circumstances?
answer: Neither is correct
ConstructName: Solve three or more step linear equations, with the variable on one side, involving positive decimals
QuestionText: Tom and Katie are discussing how to solve:
\(\frac{3 x}{2}+1=1.6\)

Tom says a correct next line of working could be: \( \frac{3 x}{2}=0.6 \)

Katie says a correct next line of working could be: \( 3 x+2=2.12 \)

Who is correct?","Neither is correct.

The correct next step after \(\frac{3x}{2} + 1 = 1.6\) should be to isolate the term with \(x\). Subtract 1 from both sides:

\[
\frac{3x}{2} + 1 - 1 = 1.6 - 1
\]

This simplifies to:

\[
\frac{3x}{2} = 0.6
\]

So Tom is correct in his next step. Katie's next step \(3x + 2 = 2.12\) is incorrect because it introduces an extra 2 on the left side which does not follow from the original equation.

Therefore, Tom is correct.",Does not understand that when multiplying both sides of an equation by an amount every term must be multiplied by the same amount
287,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 0 \mathrm{~km} \)
ConstructName: Read values off a displacement-time graph
QuestionText: How far away from home was Rachel at 12:15? ![A line graph with title ""A graph to show the distance Rachel travels from her home on her daily run."" 
The x-axis is titled ""Time"" and is labelled with times from 0800 to 1300 in steps of 1 hour, with the axis going half an hour beyond 1300.
The y-axis is titled ""Distance from home (Km)"" and the scale is from 0 to 8 in steps of 1km. The following points are plotted and joined together: (0800, 0), (0830, 2), (0900, 3.5),(1000, 6), (1030, 7), (1100, 7.5),(1230, 7.5),(1300, 4.5), (1330, 0).       
]()",0km,Thinks a horizontal line on a distance time graph means a distance of 0
175,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 0 \)
ConstructName: Given a line segment, calculate the gradient where the gradient is a positive integer
QuestionText: What is the gradient of this line? ![A set of axes with a graph drawn on. The graph passes through the following points: (-3,-3) (-2,-2) (-1,-1) (0,0) (1,1) (2,2) and (3,3).]()",700,Believes the gradient of a line is given by an intercept
1424,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( \frac{1}{4} \)
ConstructName: Multiply proper fractions in the form: Fraction × Integer
QuestionText: \( 7 \times \frac{1}{4}=7 \div ? \)",\( \frac{1}{4} \),"When dividing an integer by a fraction, thinks they can just multiply instead."
2018,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 137^{\circ} \)
ConstructName: Find missing angles using vertically opposite angles
QuestionText: What is the size of angle \( y \) ? ![A diagram showing 3 lines crossing at a point to form 6 angles. One angle is marked as 43 degrees. Another angle is marked as y. There are two blank angles between each marked angle.]()",137°,Believes vertically opposite angles sum to 180 degrees
